City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sambava,MG,69.42,clear sky,-14.2667,50.1667,Melrose
1,Filadelfia,US,77.49,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
2,Umm Lajj,SA,85.41,clear sky,25.0213,37.2685,Moon light Furnished Units
3,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
4,Banda Aceh,ID,84.72,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
7,Oktyabrskoye,RU,66.34,few clouds,43.0645,44.7417,Prolesok Mini-hotel
10,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Rikitea,PF,74.48,clear sky,-23.1203,-134.9692,People ThankYou
12,Champasak,LA,85.08,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
14,Naze,JP,83.32,overcast clouds,28.3667,129.4833,Shishime Hotel
16,Atuona,PF,77.11,broken clouds,-9.8,-139.0333,Villa Enata
21,Sao Jose Da Coroa Grande,BR,74.14,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
22,Terralba,IT,71.78,clear sky,39.7192,8.6392,B&B Neverland
23,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
25,Santa Isabel Do Rio Negro,BR,72.77,broken clouds,-0.4139,-65.0192,Hotel GSA
27,Burgos,ES,68.41,clear sky,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
28,Ardon,RU,68.99,scattered clouds,43.17,44.29,Blossom
31,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
35,Virginia Beach,US,83.01,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
37,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
39,Craig,US,76.62,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
40,Cabedelo,BR,74.07,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
42,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
49,Yar-Sale,RU,66.58,overcast clouds,66.8333,70.8333,Yalemd
50,Vila Franca Do Campo,PT,75.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
54,Praia Da Vitoria,PT,70.75,broken clouds,38.7333,-27.0667,Hotel Branco I
55,Derzhavinsk,KZ,77.13,clear sky,51.1,66.3167,Ooo.khim Baza
60,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
61,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
62,Santa Ana,US,86.52,scattered clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
64,Hithadhoo,MV,82.02,overcast clouds,-0.6,73.0833,Scoop Guest House
65,Mahebourg,MU,69.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Soto La Marina,MX,82.78,few clouds,23.7667,-98.2167,Hotel Chicago
71,Faanui,PF,76.33,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
72,Butaritari,KI,82.49,broken clouds,3.0707,172.7902,Isles Sunset Lodge
73,Blacksburg,US,70.66,broken clouds,37.2296,-80.4139,Hilton Garden Inn Blacksburg University
74,Genc,TR,72.97,clear sky,38.7507,40.5603,Genc Ogretmenevi
76,Puerto Ayora,EC,68.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Hasaki,JP,84.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
78,Ribeira Grande,PT,71.87,few clouds,38.5167,-28.7,Quinta da Meia Eira
81,Roma,US,70.72,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
82,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
84,Hilo,US,75.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
86,Pangody,RU,68.59,scattered clouds,65.85,74.4859,Elizaveta Shevchuk's House
88,Hashtrud,IR,74.75,clear sky,37.4779,47.0508,Hashtrud Farhangian Club
89,Bengkulu,ID,84.07,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
90,Piacabucu,BR,73.69,clear sky,-10.4056,-36.4344,Piaçabuçu News
92,Arraial Do Cabo,BR,69.19,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Vanimo,PG,82.02,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
95,Georgetown,MY,86.9,moderate rain,5.4112,100.3354,Cititel Penang
96,Caravelas,BR,69.66,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
98,Natal,BR,77.22,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
101,Touros,BR,74.77,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
102,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
104,Alamosa,US,73.38,few clouds,37.4695,-105.87,Best Western Alamosa Inn
105,Bethel,US,75.07,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
106,Kirakira,SB,83.35,scattered clouds,-10.4544,161.9205,SanBiz Lodge
107,Saint Pete Beach,US,84.99,clear sky,27.7253,-82.7412,Sirata Beach Resort
109,Padang,ID,82.45,moderate rain,-0.9492,100.3543,Mercure Padang
110,Vao,NC,72.86,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
112,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
113,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
114,Balkhash,KZ,75.81,broken clouds,46.844,74.9804,Family
116,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
120,Progreso,MX,80.71,clear sky,21.2833,-89.6667,Playa Linda Hotel
