City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2022-07-16 02:29:41,-37.6167,-73.65,44.26,82,26,2.64
1,Esperance,AU,2022-07-16 02:29:41,-33.8667,121.9,59.63,71,100,12.59
2,Provideniya,RU,2022-07-16 02:29:42,64.3833,-173.3,50.52,60,45,6.62
3,Luwuk,ID,2022-07-16 02:29:42,-0.9516,122.7875,78.3,86,100,6.51
4,Codajas,BR,2022-07-16 02:29:42,-3.8367,-62.0569,77.54,81,76,3.33
5,Mujiayingzi,CN,2022-07-16 02:29:43,42.1167,118.7833,74.82,65,91,4.97
6,Rikitea,PF,2022-07-16 02:29:43,-23.1203,-134.9692,67.68,87,100,13.24
7,Kodiak,US,2022-07-16 02:29:44,57.79,-152.4072,62.11,72,100,3.44
8,San Luis,AR,2022-07-16 02:25:58,-33.295,-66.3356,35.56,97,100,8.43
9,Strausberg,DE,2022-07-16 02:29:44,52.5786,13.8874,61.66,80,100,6.26
10,Nokia,FI,2022-07-16 02:29:44,61.4667,23.5,52.57,93,100,6.91
11,Albany,US,2022-07-16 02:25:55,42.6001,-73.9662,70.45,70,64,2.86
12,Kapaa,US,2022-07-16 02:29:45,22.0752,-159.319,84.18,70,0,14.97
13,Qaanaaq,GL,2022-07-16 02:29:45,77.484,-69.3632,51.3,60,76,8.3
14,San Cristobal,VE,2022-07-16 02:29:46,7.7669,-72.225,71.78,98,41,2.48
15,Tuktoyaktuk,CA,2022-07-16 02:29:46,69.4541,-133.0374,46.4,71,20,4.61
16,Roma,US,2022-07-16 02:29:46,43.2128,-75.4557,66.87,77,0,0.0
17,Teya,RU,2022-07-16 02:29:47,60.3778,92.6267,58.51,69,20,1.81
18,Avarua,CK,2022-07-16 02:29:47,-21.2078,-159.775,75.25,69,75,16.11
19,Dikson,RU,2022-07-16 02:29:48,73.5069,80.5464,43.61,81,16,11.21
20,Margate,GB,2022-07-16 02:29:48,51.3813,1.3862,63.3,76,12,1.01
21,Jumla,NP,2022-07-16 02:29:49,29.2747,82.1838,68.0,77,71,1.03
22,Ushuaia,AR,2022-07-16 02:27:09,-54.8,-68.3,37.06,52,20,16.11
23,Taltal,CL,2022-07-16 02:29:49,-25.4,-70.4833,54.48,74,37,1.83
24,Caravelas,BR,2022-07-16 02:29:50,-17.7125,-39.2481,70.16,82,82,5.28
25,Ratnapura,LK,2022-07-16 02:29:50,6.6828,80.3992,77.76,86,100,2.1
26,Torbay,CA,2022-07-16 02:29:51,47.6666,-52.7314,62.89,93,75,10.36
27,Hermanus,ZA,2022-07-16 02:29:51,-34.4187,19.2345,52.81,74,80,8.1
28,Merauke,ID,2022-07-16 02:29:51,-8.4667,140.3333,78.67,68,94,13.67
29,Ancud,CL,2022-07-16 02:29:52,-41.8697,-73.8203,40.23,79,0,2.73
30,Izmir,TR,2022-07-16 02:29:52,38.4622,27.0923,78.31,49,0,13.8
31,Atuona,PF,2022-07-16 02:29:53,-9.8,-139.0333,77.2,74,4,12.46
32,Aykhal,RU,2022-07-16 02:29:53,66.0,111.5,48.51,94,100,14.14
33,Ostrovnoy,RU,2022-07-16 02:29:53,68.0531,39.5131,51.48,98,100,7.31
34,Challans,FR,2022-07-16 02:29:54,46.8436,-1.8749,68.2,45,36,10.71
35,Jamestown,US,2022-07-16 02:27:53,42.097,-79.2353,63.99,70,100,1.25
36,Saint-Georges,GD,2022-07-16 02:29:54,12.0564,-61.7485,80.28,89,20,16.11
37,Wuning,CN,2022-07-16 02:29:55,29.2589,120.2311,93.52,54,100,5.19
38,Kutum,SD,2022-07-16 02:29:55,14.2,24.6667,73.33,69,99,8.16
39,Upernavik,GL,2022-07-16 02:29:55,72.7868,-56.1549,47.48,64,13,2.62
40,Port Augusta,AU,2022-07-16 02:29:56,-32.5,137.7667,60.66,26,22,23.76
41,Hithadhoo,MV,2022-07-16 02:29:56,-0.6,73.0833,83.17,75,64,13.58
42,Ambilobe,MG,2022-07-16 02:29:57,-13.2,49.05,63.82,88,10,3.2
43,Chuy,UY,2022-07-16 02:29:57,-33.6971,-53.4616,58.1,99,94,3.98
44,Prince George,CA,2022-07-16 02:29:00,53.9166,-122.753,62.04,77,100,18.41
45,Kumbo,CM,2022-07-16 02:29:58,6.2,10.6667,59.41,98,100,0.81
46,Geraldton,AU,2022-07-16 02:30:58,-28.7667,114.6,61.21,82,2,11.5
47,Busselton,AU,2022-07-16 02:30:58,-33.65,115.3333,59.52,69,100,6.35
48,Kavieng,PG,2022-07-16 02:30:59,-2.5744,150.7967,83.91,68,67,7.85
49,Mataura,NZ,2022-07-16 02:30:59,-46.1927,168.8643,44.51,74,78,5.46
50,Vaini,TO,2022-07-16 02:30:59,-21.2,-175.2,80.76,89,20,9.22
51,Balaghat,IN,2022-07-16 02:31:00,21.8,80.1833,80.04,86,97,1.9
52,Alice Springs,AU,2022-07-16 02:31:00,-23.7,133.8833,65.75,14,0,4.61
53,Sibu,MY,2022-07-16 02:31:00,2.3,111.8167,84.51,74,20,5.01
54,Estrela,BR,2022-07-16 02:31:01,-28.0611,-50.9383,59.22,85,100,4.56
55,Kindu,CD,2022-07-16 02:31:01,-2.95,25.95,70.56,78,51,1.9
56,Yuzhno-Kurilsk,RU,2022-07-16 02:31:02,44.0306,145.8556,62.44,76,96,10.87
57,Bayir,TR,2022-07-16 02:31:03,37.2687,28.2167,63.12,49,0,4.18
