City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sambava,MG,-14.2667,50.1667,69.42,78,6,9.75,clear sky
1,Filadelfia,US,39.9523,-75.1638,77.49,91,75,12.66,broken clouds
2,Umm Lajj,SA,25.0213,37.2685,85.41,53,4,6.96,clear sky
3,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds
4,Banda Aceh,ID,5.5577,95.3222,84.72,65,95,12.66,overcast clouds
5,Barrow,US,71.2906,-156.7887,42.82,75,100,17.27,overcast clouds
6,Constitucion,CL,-35.3333,-72.4167,47.55,89,73,5.88,broken clouds
7,Oktyabrskoye,RU,43.0645,44.7417,66.34,88,13,6.71,few clouds
8,Burnie,AU,-41.0667,145.9167,53.94,35,0,2.73,clear sky
9,Cape Town,ZA,-33.9258,18.4232,55.9,81,20,8.05,few clouds
10,Kapaa,US,22.0752,-159.319,85.98,75,20,18.41,few clouds
11,Rikitea,PF,-23.1203,-134.9692,74.48,75,5,12.21,clear sky
12,Champasak,LA,14.75,106.0,85.08,85,89,2.28,overcast clouds
13,Sitka,US,57.0531,-135.33,55.29,88,100,5.75,haze
14,Naze,JP,28.3667,129.4833,83.32,80,100,16.62,overcast clouds
15,Klaksvik,FO,62.2266,-6.589,52.72,93,95,16.4,light rain
16,Atuona,PF,-9.8,-139.0333,77.11,72,69,19.28,broken clouds
17,Ilulissat,GL,69.2167,-51.1,46.42,71,100,0.0,overcast clouds
18,Luderitz,NA,-26.6481,15.1594,55.42,87,0,10.2,clear sky
19,Ushuaia,AR,-54.8,-68.3,35.26,87,20,9.22,few clouds
20,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,27.63,scattered clouds
21,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.14,83,59,11.27,broken clouds
22,Terralba,IT,39.7192,8.6392,71.78,73,0,6.2,clear sky
23,Bambous Virieux,MU,-20.3428,57.7575,69.22,77,75,11.5,light rain
24,Bredasdorp,ZA,-34.5322,20.0403,53.64,85,99,3.02,overcast clouds
25,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.77,97,78,0.65,broken clouds
26,Srbac,BA,45.0978,17.525,53.73,42,5,1.86,clear sky
27,Burgos,ES,42.3394,-3.7079,68.41,42,0,3.44,clear sky
28,Ardon,RU,43.17,44.29,68.99,72,30,3.56,scattered clouds
29,Mataura,NZ,-46.1927,168.8643,45.48,89,100,4.16,overcast clouds
30,Beloha,MG,-25.1667,45.05,59.61,87,0,8.97,clear sky
31,Yellowknife,CA,62.456,-114.3525,70.32,60,75,2.3,broken clouds
32,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,4.61,clear sky
33,Hofn,IS,64.2539,-15.2082,50.29,85,100,10.71,overcast clouds
34,Upernavik,GL,72.7868,-56.1549,43.57,78,100,6.46,overcast clouds
35,Virginia Beach,US,36.8529,-75.978,83.01,85,0,10.36,clear sky
36,Chuy,UY,-33.6971,-53.4616,46.0,91,89,4.74,overcast clouds
37,Kahului,US,20.8947,-156.47,84.22,58,40,26.46,scattered clouds
38,Port Alfred,ZA,-33.5906,26.891,62.33,56,19,3.98,few clouds
39,Craig,US,40.5153,-107.5464,76.62,38,0,3.44,clear sky
40,Cabedelo,BR,-6.9811,-34.8339,74.07,85,43,14.54,scattered clouds
41,Hobart,AU,-42.8794,147.3294,49.26,73,75,5.75,broken clouds
42,Alofi,NU,-19.0595,-169.9187,76.89,73,75,17.27,broken clouds
43,Longyearbyen,SJ,78.2186,15.6401,53.44,66,75,14.97,broken clouds
44,Polunochnoye,RU,60.8697,60.4153,69.73,73,23,3.44,few clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,41.95,86,0,7.0,clear sky
46,Taoudenni,ML,22.6783,-3.9836,92.14,10,4,6.13,clear sky
47,Okha,RU,53.5739,142.9478,54.12,97,100,15.59,overcast clouds
48,Saint-Augustin,CA,51.226,-58.6502,60.55,72,25,4.59,scattered clouds
49,Yar-Sale,RU,66.8333,70.8333,66.58,44,87,11.21,overcast clouds
50,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,95,65,3.13,broken clouds
51,Kodiak,US,57.79,-152.4072,56.71,77,0,6.91,clear sky
52,Torbay,CA,47.6666,-52.7314,64.76,83,100,18.41,light intensity shower rain
53,Pisco,PE,-13.7,-76.2167,60.85,82,100,5.75,mist
54,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,88,75,7.18,broken clouds
55,Derzhavinsk,KZ,51.1,66.3167,77.13,41,0,3.56,clear sky
56,Qaanaaq,GL,77.484,-69.3632,41.54,72,16,1.43,few clouds
57,Katangli,RU,51.7102,143.2326,56.41,86,98,11.05,overcast clouds
58,Ostrovnoy,RU,68.0531,39.5131,59.31,72,72,5.03,broken clouds
59,Kruisfontein,ZA,-34.0033,24.7314,53.89,91,54,4.41,broken clouds
60,Hambantota,LK,6.1241,81.1185,86.34,79,20,8.05,few clouds
61,East London,ZA,-33.0153,27.9116,67.14,37,0,11.5,clear sky
62,Santa Ana,US,33.7456,-117.8678,86.52,73,40,8.05,scattered clouds
63,Saint George,US,37.1041,-113.5841,99.63,22,0,7.0,clear sky
64,Hithadhoo,MV,-0.6,73.0833,82.02,77,99,11.01,overcast clouds
65,Mahebourg,MU,-20.4081,57.7,69.26,77,75,11.5,broken clouds
66,Albany,US,42.6001,-73.9662,73.45,90,99,1.99,overcast clouds
67,Iqaluit,CA,63.7506,-68.5145,38.93,93,75,13.8,broken clouds
68,Saskylakh,RU,71.9167,114.0833,43.41,68,100,16.4,overcast clouds
69,Nikolskoye,RU,59.7035,30.7861,59.88,74,69,5.12,broken clouds
70,Soto La Marina,MX,23.7667,-98.2167,82.78,74,14,12.17,few clouds
71,Faanui,PF,-16.4833,-151.75,76.33,71,2,5.55,light rain
72,Butaritari,KI,3.0707,172.7902,82.49,74,57,16.98,broken clouds
73,Blacksburg,US,37.2296,-80.4139,70.66,94,75,0.0,broken clouds
74,Genc,TR,38.7507,40.5603,72.97,56,0,6.38,clear sky
75,Shahr-E Kord,IR,32.3256,50.8644,60.57,23,0,2.3,clear sky
76,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,65,5.99,broken clouds
77,Hasaki,JP,35.7333,140.8333,84.6,79,100,18.32,overcast clouds
78,Ribeira Grande,PT,38.5167,-28.7,71.87,91,22,1.16,few clouds
79,Busselton,AU,-33.65,115.3333,59.79,67,0,8.77,clear sky
80,Kovdor,RU,67.5662,30.4758,54.39,90,94,2.33,overcast clouds
81,Roma,US,43.2128,-75.4557,70.72,95,100,12.66,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,64,17.96,light rain
83,Sisimiut,GL,66.9395,-53.6735,44.51,93,100,3.51,light rain
84,Hilo,US,19.7297,-155.09,75.25,93,100,4.61,moderate rain
85,Geraldton,AU,-28.7667,114.6,64.81,72,0,9.22,clear sky
86,Pangody,RU,65.85,74.4859,68.59,43,27,10.89,scattered clouds
87,Khatanga,RU,71.9667,102.5,47.39,74,100,16.13,overcast clouds
88,Hashtrud,IR,37.4779,47.0508,74.75,26,0,6.8,clear sky
89,Bengkulu,ID,-3.8004,102.2655,84.07,67,42,4.5,scattered clouds
90,Piacabucu,BR,-10.4056,-36.4344,73.69,79,10,11.92,clear sky
91,Kaitangata,NZ,-46.2817,169.8464,44.55,86,100,8.95,light rain
92,Arraial Do Cabo,BR,-22.9661,-42.0278,69.19,91,100,14.58,overcast clouds
93,Vanimo,PG,-2.6741,141.3028,82.02,78,80,4.21,broken clouds
94,New Norfolk,AU,-42.7826,147.0587,48.92,59,39,1.45,scattered clouds
95,Georgetown,MY,5.4112,100.3354,86.9,81,20,0.0,moderate rain
96,Caravelas,BR,-17.7125,-39.2481,69.66,89,23,4.76,few clouds
97,Chumikan,RU,54.7183,135.315,52.93,98,100,10.85,light rain
98,Natal,BR,-5.795,-35.2094,77.22,88,40,5.75,moderate rain
99,Tasiilaq,GL,65.6145,-37.6368,35.76,87,9,2.1,clear sky
100,Cherskiy,RU,68.75,161.3,51.1,56,51,22.35,broken clouds
101,Touros,BR,-5.1989,-35.4608,74.77,89,90,11.81,moderate rain
102,The Valley,AI,18.217,-63.0578,82.26,75,1,19.75,clear sky
103,Ancud,CL,-41.8697,-73.8203,42.22,83,25,10.6,scattered clouds
104,Alamosa,US,37.4695,-105.87,73.38,40,20,5.75,few clouds
105,Bethel,US,41.3712,-73.414,75.07,93,99,1.01,overcast clouds
106,Kirakira,SB,-10.4544,161.9205,83.35,71,25,6.31,scattered clouds
107,Saint Pete Beach,US,27.7253,-82.7412,84.99,76,0,4.61,clear sky
108,Port Elizabeth,ZA,-33.918,25.5701,60.31,96,75,8.05,broken clouds
109,Padang,ID,-0.9492,100.3543,82.45,57,27,4.38,moderate rain
110,Vao,NC,-22.6667,167.4833,72.86,84,96,16.75,overcast clouds
111,Lodja,CD,-3.4833,23.4333,72.05,83,100,2.21,overcast clouds
112,Souillac,MU,-20.5167,57.5167,68.38,77,75,11.5,light rain
113,Bathsheba,BB,13.2167,-59.5167,81.21,87,40,17.27,scattered clouds
114,Balkhash,KZ,46.844,74.9804,75.81,35,75,8.95,broken clouds
115,Fortuna,US,40.5982,-124.1573,59.92,78,4,1.99,clear sky
116,Cayenne,GF,4.9333,-52.3333,77.09,1,0,0.0,clear sky
117,Port Lincoln,AU,-34.7333,135.8667,54.23,59,100,14.99,overcast clouds
118,Hefei,CN,31.8639,117.2808,91.42,58,40,6.71,scattered clouds
119,Takhtamygda,RU,54.1,123.5667,81.19,51,93,3.09,overcast clouds
120,Progreso,MX,21.2833,-89.6667,80.71,82,1,11.97,clear sky
